account,date,daily_pnl,avg_trade_size,total_fee,num_trades,prev_day_pnl,rolling_3day_pnl,volatility,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral,target
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,0.17,0.0,1,8157.112326,-33339.935458,48547.6073007273,False,False,True,False,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,2149.553218673219,298.312315,407,233.36546,21.51017900000001,222.42682358747442,True,False,False,False,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,729.007130044843,111.648962,446,-316.245208,232.37385533333335,389.96194174417707,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,422.0099076212471,62.202151,433,780.001314,201.6585653333333,390.5778102320123,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,333.45923076923077,17.776025,156,141.21958999999998,531.617368,441.41318639605436,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,200.7391304347826,4.469844,69,673.6312,307.72397233333334,449.76511814387914,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,324.3673333333333,24.451253,225,108.321127,415.4111096666666,304.07349481567985,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,1012.5778341013826,75.523391,217,464.281002,21.437162666666627,448.5494384965952,True,False,False,False,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,1110.83224852071,62.761001,169,-508.290641,49.88483999999996,448.1507078316473,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,946.0768115942029,67.285783,207,193.66415899999998,-49.69794600000004,358.707645340368,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,388.948786407767,29.21348375,206,165.532644,3303.643677666667,4251.565074438348,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,315.52253246753247,17.77266812,154,9551.73423,5102.598374,4411.742228337428,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,247.12725388601035,16.10546943,193,5590.528248,6533.505809333333,3960.8249935308045,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,140.36935714285713,6.30947724,140,4458.25495,3777.5430816666667,3722.287821217217,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,92.37217948717948,2.982829,78,1283.846047,2310.8199053333333,3463.0987805461446,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,165.78285714285715,7.22773423,112,1190.358719,3846.791470666667,3285.2832690405057,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,259.2459183673469,9.32634692,98,9066.169646,8314.105343000001,5755.48333045425,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,129.80536231884057,2.907485,69,14685.787664,8047.044514,6312.8681556828515,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,159.67825581395348,3.66824976,86,389.176232,6360.991981666666,5986.214608064659,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,77.67176470588235,2.81362784,102,4008.012049,1650.3994076666659,6115.8832067033945,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,88.1318309859155,6.79214041,213,554.009942,1776.817609666666,6113.697421794355,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,119.62222929936306,5.81611154,157,768.430838,767.6660803333328,1507.9808305737681,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,124.41204301075268,4.121023,93,980.557461,1110.3298036666658,1411.1934849467857,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,150.14530612244897,6.99886242,147,1582.001112,2789.809297666666,2196.298081200372,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,88.59193548387097,6.2494111199999995,155,5806.86932,2970.384947999999,2083.5100893808303,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,187.5361038961039,9.858389,154,1522.284412,6870.294997333333,5208.262414521773,True,False,False,False,1
